City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Mount Gambier,AU,-37.8333,140.7667,42.71,87,40,5.75,scattered clouds
126,Khed Brahma,IN,24.0333,73.05,83.97,63,81,3.36,broken clouds
127,Lagoa,PT,39.05,-27.9833,70.81,88,9,17.07,clear sky
128,Sur,OM,22.5667,59.5289,83.55,69,0,7.94,clear sky
129,Novaya Igirma,RU,57.1334,103.9112,26.69,83,73,4.54,broken clouds
130,Nesna,NO,66.1967,13.0213,48.58,77,100,4.41,light rain
131,Hermanus,ZA,-34.4187,19.2345,62.8,82,0,18.52,clear sky
132,Narasannapeta,IN,18.4167,84.05,79.83,83,21,0.76,few clouds
133,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,20,12.66,few clouds
134,Humboldt,US,40.6665,-123.9178,49.68,53,69,5.41,broken clouds
135,Hilo,US,19.7297,-155.09,76.8,93,77,1.01,heavy intensity rain
136,Lebu,CL,-37.6167,-73.65,57.51,53,0,18.1,clear sky
137,Atuona,PF,-9.8,-139.0333,78.55,77,64,21.9,broken clouds
138,Alice Springs,AU,-23.7,133.8833,62.15,82,90,3.44,overcast clouds
139,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,10.36,light rain
140,Isangel,VU,-19.55,169.2667,73.67,91,21,11.99,few clouds
141,Rundu,NA,-17.9333,19.7667,80.58,42,92,8.16,overcast clouds
142,Shitanjing,CN,39.2342,106.3439,48.22,73,8,7.02,clear sky
143,Otane,NZ,-39.8833,176.6333,57.0,96,98,4.34,light rain
144,Ust-Nera,RU,64.5667,143.2,18.77,95,79,4.92,broken clouds
145,Santa Teresa,VE,10.2341,-66.6631,91.42,40,79,4.25,broken clouds
146,Yataity,PY,-26.3667,-56.0667,78.21,79,99,7.16,overcast clouds
147,Auki,SB,-8.7676,160.7034,76.95,84,83,4.21,broken clouds
148,Sao Filipe,CV,14.8961,-24.4956,80.29,74,44,10.69,scattered clouds
149,Rabak,SD,13.1809,32.74,89.28,33,19,7.81,few clouds
150,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,9.22,scattered clouds
151,Sajanan,TN,37.0573,9.2426,68.38,76,86,14.16,overcast clouds
152,Iqaluit,CA,63.7506,-68.5145,40.73,80,75,10.0,broken clouds
153,Okha,RU,53.5739,142.9478,39.72,78,97,7.94,overcast clouds
154,Anadyr,RU,64.75,177.4833,32.5,100,75,8.01,light snow
155,Bilma,NE,18.6853,12.9164,87.58,11,0,5.84,clear sky
156,Mbuji-Mayi,CD,-6.15,23.6,71.49,87,99,0.16,light rain
157,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,75,28.77,broken clouds
158,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,20,13.8,few clouds
159,Santa Fe,AR,-31.6333,-60.7,73.74,42,0,5.01,light rain
160,Vaini,TO,-21.2,-175.2,75.36,88,75,8.05,broken clouds
161,Kudahuvadhoo,MV,2.6708,72.8944,83.66,73,59,14.05,broken clouds
162,Itoman,JP,26.1247,127.6694,79.18,94,20,9.22,few clouds
163,Parfenyevo,RU,58.484,43.4088,38.19,84,49,4.18,scattered clouds
164,Coihaique,CL,-45.5752,-72.0662,57.15,19,0,8.05,clear sky
165,Olavarria,AR,-36.8927,-60.3225,56.01,51,57,15.48,broken clouds
166,Talnakh,RU,69.4865,88.3972,35.02,100,100,5.03,overcast clouds
167,Camacupa,AO,-12.0167,17.4833,65.89,73,100,4.99,overcast clouds
168,Espanola,US,35.9911,-106.0806,73.72,30,63,11.03,broken clouds
169,Pisco,PE,-13.7,-76.2167,68.05,73,0,8.05,clear sky
170,Huilong,CN,31.8111,121.655,81.03,88,44,9.24,light rain
171,Mar Del Plata,AR,-38.0023,-57.5575,55.0,63,40,13.0,scattered clouds
172,Kanye,BW,-24.9667,25.3327,75.69,35,90,10.54,overcast clouds
173,Kouroussa,GN,10.65,-9.8833,81.27,73,100,1.39,overcast clouds
174,Uvalde,US,29.3669,-99.767,87.53,28,1,6.91,clear sky
175,Rincon,US,32.296,-81.2354,75.65,96,90,10.36,light rain
176,Tonj,SS,7.2737,28.6822,71.4,96,77,3.78,moderate rain
177,Raymondville,US,26.4815,-97.7831,90.36,34,4,4.92,clear sky
178,Taksimo,RU,56.3444,114.8794,29.86,90,97,2.93,overcast clouds
179,Pevek,RU,69.7008,170.3133,26.24,80,100,14.34,overcast clouds
180,Muzhi,RU,65.3667,64.6667,45.23,76,100,16.78,overcast clouds
181,Bathsheba,BB,13.2167,-59.5167,84.74,73,17,19.01,few clouds
182,Chokurdakh,RU,70.6333,147.9167,21.67,90,98,10.11,overcast clouds
