City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
194,Takoradi,GH,79.52,light rain,4.8845,-1.7554,Raybow International Hotel
201,Yarada,IN,82.72,few clouds,17.65,83.2667,Jeevan
203,Port-Gentil,GA,77.74,broken clouds,-0.7193,8.7815,Fengshui Residence
206,Kieta,PG,78.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
210,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
231,Mitsamiouli,KM,75.49,scattered clouds,-11.3847,43.2844,Foyer ADM
238,Lorengau,PG,77.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
249,Ceres,US,77.05,scattered clouds,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
250,Feijo,BR,81.46,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
251,Zambezi,ZM,76.89,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
253,Pemangkat,ID,79.54,broken clouds,1.1667,108.9667,Ramah Kost KITA
254,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
256,Am Timan,TD,82.47,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
259,Esquipulas,GT,84.25,broken clouds,14.5667,-89.35,Grand Caporal Hotel
262,Saint-Georges,GD,89.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
263,Fare,PF,78.08,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
266,Resende,BR,80.01,broken clouds,-22.4689,-44.4467,Espigão Palace Hotel
268,Ixtepec,MX,86.9,broken clouds,16.5786,-95.1022,Hotel Express Inn Ixtepec
278,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
281,Angoche,MZ,76.15,clear sky,-16.2325,39.9086,Guest House HESADA
282,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
283,Pyay,MM,76.91,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
286,Arvin,US,86.11,overcast clouds,35.2091,-118.8284,Geo Rizo
291,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
293,Clovis,US,83.68,smoke,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
295,Namatanai,PG,78.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
296,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
297,Mahibadhoo,MV,83.55,broken clouds,3.7833,72.9667,Omadhoo Inn
307,Banda Aceh,ID,78.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
316,Impfondo,CG,78.06,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
318,Garowe,SO,86.34,overcast clouds,8.4054,48.4845,Curubo Hotel
325,Guerrero Negro,MX,75.25,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
328,Vanimo,PG,76.55,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
329,Havelock,US,83.01,overcast clouds,34.8791,-76.9013,Sherwood Motel
330,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
332,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
333,Mulege,MX,88.75,clear sky,26.8833,-111.9833,Casa Granada
341,Tual,ID,81.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
347,Omboue,GA,76.41,broken clouds,-1.5746,9.2618,Hotel Olako
349,Sibolga,ID,75.74,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
350,Dickinson,US,88.23,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
352,Camara De Lobos,PT,75.7,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
358,Ahuimanu,US,77.77,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
359,Kahama,TZ,77.95,few clouds,-3.8333,32.6,Kahama Gold Hotel
360,Manta,EC,75.52,broken clouds,-0.95,-80.7333,Balandra Hotel
363,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
365,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
368,Hambantota,LK,79.77,broken clouds,6.1241,81.1185,Bungalow 63
371,Kavaratti,IN,80.92,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
378,Zafra,ES,77.88,scattered clouds,38.4167,-6.4167,Parador de Zafra
382,Gohpur,IN,75.6,clear sky,26.8833,93.6333,Murchana Music
383,Palau,PW,76.96,heavy intensity rain,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
384,Biltine,TD,88.16,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
388,Bud,US,75.15,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
396,Ha Tinh,VN,76.57,overcast clouds,18.3333,105.9,Phú Quý
405,Hamilton,US,76.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
409,Praia,CV,81.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
410,Esmeraldas,BR,86.86,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
417,Faanui,PF,78.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
424,Sabang,ID,81.97,overcast clouds,5.8933,95.3214,Hotel Citra
425,Itanhandu,BR,80.35,broken clouds,-22.2958,-44.9347,Hotel casarão
427,Adeje,ES,75.02,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
428,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
429,Balabac,PH,81.77,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
430,Bandarbeyla,SO,79.68,scattered clouds,9.4942,50.8122,JABIR HOTEL
436,San Joaquin,US,75.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
442,Bongor,TD,82.24,broken clouds,10.2806,15.3722,Oryx Palace
451,Caravelas,BR,81.41,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
456,Tawau,MY,78.76,heavy intensity rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
457,Malabor,PH,79.74,overcast clouds,11.2729,122.0466,Kasa Raya Inn
466,Tam Ky,VN,76.98,moderate rain,15.5667,108.4833,Khách Sạn Đông Á
467,Barcelos,PT,75.92,clear sky,41.5388,-8.6151,Hotel Do Terço
473,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
481,Chahal,GT,87.15,broken clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
486,Marsh Harbour,BS,83.84,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
496,Layou,VC,82.26,few clouds,13.2,-61.2667,Grace And Truth Campsite
497,Alyangula,AU,78.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
498,Gaoual,GN,86.18,light rain,11.75,-13.2,Hotel koliba
499,Catamarca,AR,79.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
501,Itarema,BR,86.76,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
502,Waddan,LY,78.28,clear sky,29.1614,16.139,محل الشريف محمد العايب
503,Mithi,PK,87.31,broken clouds,24.7318,69.7981,Jhapio
507,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
513,Virginia Beach,US,80.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
516,Puli,TW,78.22,clear sky,23.9664,120.9695,小島好樂
517,Ewo,CG,79.2,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
523,Chikwawa,MW,84.25,clear sky,-16.0335,34.8009,Thawale Lodge
524,Kutum,SD,82.94,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
527,Sigli,ID,79.39,overcast clouds,5.3848,95.9609,Losmen Dua Mali
533,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
537,Bajil,YE,89.85,scattered clouds,15.0584,43.2851,فندق حضرموت
538,Myrtle Beach,US,84.09,light rain,33.6891,-78.8867,Bay View Resort Myrtle Beach
543,Albertville,US,77.45,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
549,Daru,PG,78.08,light rain,-9.0763,143.2092,Daru Lodge
